Date,Location,Temperature (°C),Humidity (%),Rainfall (mm),Soil pH,Soil Moisture (%),Nitrate Level (mg/kg),Phosphorus Level (mg/kg),Potassium Level (mg/kg),Crop Type,Crop Yield (kg/ha),Fertilizer Used (kg/ha),Pesticides Used (kg/ha),Water Usage (L/ha)
02:25.0,Farm D,27.82,49.29,33.27,6.6,28.71,15.96,6.12,6.3,Corn,,55.63,9.05,1880.08
02:25.0,Farm A,17.88,48.44,36.69,5.85,23.67,19.27,28.03,5.55,Wheat,4461.28,118.38,6.77,1880.82
02:25.0,Farm B,20.53,81.71,8.33,7.83,28.44,31.99,7.3,46.14,Wheat,4365.34,60.12,,1836.27
02:25.0,Farm B,33.82,42.01,,6.4,24.25,6.17,13.97,49.6,Rice,1306.95,44.79,6.83,1534.54
02:25.0,Farm B,,53.91,44.36,7.14,14.28,48.98,16.59,41.14,Soybeans,3089.03,151.06,6.92,1635.42
02:25.0,Farm A,29.29,38.02,39.8,6.63,12.66,23.29,,38.58,Corn,,,4.58,487.83
02:25.0,Farm C,30.58,32.12,14.84,5.92,37.64,1.7,34.64,45.71,Corn,1294.93,,9.54,1710.56
02:25.0,Farm C,29.79,73.83,25.71,6.5,29.86,15.97,8.96,5.59,Rice,2277.24,4.55,6.61,1862.63
02:25.0,Farm A,34.21,50.83,38.35,,24.24,31.6,28.19,26.61,Wheat,1845.44,63.05,3.38,465.36
02:25.0,Farm D,34.68,,35,7.69,22.35,13.65,6.07,36.86,Soybeans,,11.61,,1350.91
02:25.0,Farm C,21.11,57.63,27.17,5.73,38.92,36.88,33.32,27.69,Soybeans,2523.63,136.84,5.7,1044.64
,Farm A,18.42,68.58,47.47,5.72,36,37.81,29.13,44.17,Rice,1291.64,20.99,5.55,251.25
02:25.0,Farm A,,68.63,11.59,5.81,36.93,16.39,14.81,10.14,Wheat,2638.45,72.64,8.73,838.94
02:25.0,Farm B,20.65,55.51,2.08,7.31,26.2,10.36,34.24,22.56,,4857.78,115.88,2.7,1766.34
02:25.0,Farm D,29.34,82.69,35.37,6.15,18.67,36.77,11.22,39.34,Corn,1351.92,54.9,3.28,390.91
02:25.0,Farm A,21.11,74.45,27.18,5.07,37.02,46.99,,37.73,Rice,1161.71,67.8,5.14,877.15
02:25.0,Farm A,28.35,43.32,34.32,,14.36,9.4,,33.1,Corn,1130.38,170.01,5.57,1807.81
02:25.0,,31.18,55.36,,5.22,26.99,10.52,32.01,5.95,Wheat,1353.28,21.93,7.89,1575.9
02:25.0,Farm C,17.87,70.99,43.47,,27.64,,19.81,35.22,Wheat,3246.49,126.5,3.44,1059.06
02:25.0,Farm C,19.9,84.22,16.71,7.46,37.29,6.09,,,Soybeans,2967.94,109.6,,953.82
02:25.0,Farm B,32.32,51.57,27.98,6.62,10.07,32.22,26.32,,Rice,1573.59,8.18,3.46,
02:25.0,Farm B,30.72,34.85,5.19,6.53,15.32,29.23,12.92,42.36,Corn,4924.23,72.86,0.37,587.58
,,,,,7.59,37.64,47.11,15.87,17.75,Corn,3026.15,174.49,0,
02:25.0,Farm C,26.94,32.52,21.96,5.32,23.47,39.43,30.79,38.57,Soybeans,3440.05,180.31,,1929.71
02:25.0,Farm B,27.28,55.33,7.57,,,,36.67,31.24,Rice,4414.06,103.68,2.25,500.37
02:25.0,Farm B,33.96,80.44,,6,11.46,22.49,,47.06,Corn,4264.66,136.69,1,892.76
02:25.0,Farm D,15.76,81.71,23.34,,27.94,6.76,39.79,7.39,Corn,3285.17,53.79,5.33,529.96
02:25.0,,31.86,63.37,39.92,,16.44,15.3,,16.14,Soybeans,4191.11,100.53,2.08,751.49
02:25.0,Farm A,26.53,49.29,35.17,7.27,15.01,11.41,34.61,17.49,Wheat,1973.49,156.61,4.81,
02:25.0,Farm C,32.23,64.03,39.75,7.4,19.25,0.19,,19.21,Rice,3385.71,,4.3,1223.96
02:25.0,Farm C,32.3,69.99,47.49,7.11,17.67,26.41,1.78,24.61,Rice,1729.39,198.08,,
02:25.0,Farm B,,63.45,,7.5,29.78,17.05,25.36,12.49,Rice,3632.05,,4.55,1773.91
02:25.0,Farm D,20.52,56.52,19.66,5.96,,1.13,,34.92,Rice,2845.19,,1.08,1499.19
02:25.0,,19.46,69.83,20.68,5.09,22.41,10.61,33.79,24.77,Wheat,1653.8,4.26,0.64,1537.8
02:25.0,Farm C,17.52,49.03,18.95,7.95,25.21,34.53,8.7,28.62,,2497.56,138.5,6.78,1778.54
,Farm A,19.56,30.95,11.47,7.59,35.82,36.35,3.44,2.05,Corn,,7.47,,1569.99
02:25.0,Farm B,29.38,,22.07,5.71,24.8,11.99,5.05,24.94,Corn,3584.22,192.68,0.93,1120.61
02:25.0,Farm B,17.78,30.13,25.86,7.85,36.74,42.24,19.26,25.29,Soybeans,4404.67,90.11,7.83,1748.35
02:25.0,Farm D,19.77,48.25,27.59,7.99,38.38,20.37,27.65,29.96,Rice,3324.83,26.2,2.44,1215.45
02:25.0,Farm B,23.58,59.55,21.25,7.95,,30.15,13.65,24.78,Wheat,,32.28,3.21,408.78
02:25.0,Farm A,24.43,52.43,13.56,5.63,35.84,,39.27,,Corn,4471.95,132.34,1.59,1211.36
02:25.0,Farm B,28.28,30.39,23.51,6.32,,,24.26,38.53,Soybeans,3082.33,30.59,5.85,103.49
02:25.0,Farm D,32.65,45.06,22.09,,38.94,,32.89,42.46,Soybeans,3614.68,68.99,8.05,936.56
02:25.0,Farm A,28.36,66.05,,7.17,16.87,45.02,25.41,39.06,Soybeans,,122.4,7.78,1382.93
02:25.0,Farm C,,,42.79,7.89,26.13,30.54,38.14,4.24,Wheat,2061.52,91.39,8.86,377.39
02:25.0,,33.14,32.12,45,5.04,21.59,,26.78,37.26,,3882.01,191.86,9.13,
02:25.0,Farm D,23.09,32.16,34.04,5.32,19.3,15.98,17.58,25.65,Rice,4590,,4.01,1801.29
02:25.0,Farm B,22.45,69.07,4.91,7.77,27.67,4.67,26.3,2.49,,3109.35,70.68,9.24,1094.98
02:25.0,Farm D,24.21,33.53,10.25,7.85,,4.73,33.73,18.49,Soybeans,,183.96,3.31,1188.99
02:25.0,Farm A,17.97,44.65,38.91,7.29,29.94,42.56,19.38,16.26,Wheat,1642.78,60.45,2.87,895.75
02:25.0,Farm B,,37.38,5.07,7.22,,,27.8,1.21,Rice,,10.95,7.43,1702.18
02:25.0,Farm C,34.86,83.74,28.47,6.55,17.77,8.48,13.81,,Soybeans,3329,,7.96,1274.27
02:25.0,,32.91,85.85,7.5,7.36,20.4,21.39,39.82,29.28,Wheat,2106.77,84.84,4.16,1645.64
02:25.0,Farm C,17.29,73.78,,5.53,15.95,44.13,8.35,41.91,Soybeans,3962.94,113.92,7.44,198.68
02:25.0,Farm D,21.01,65.98,34.14,,32.01,6.57,37.76,2.41,Wheat,3538.52,122.85,3.55,808.09
02:25.0,,22.05,81.73,24.85,6.02,31.73,42.17,26.76,47.03,Corn,2357.89,30.36,7.97,408.02
02:25.0,,32.14,35.11,,7.7,29.23,16.26,7.32,23.44,Rice,3332.96,177.96,9.14,415.85
02:25.0,Farm B,32.17,85.89,23.55,5.92,29.74,32.85,26.56,29.18,,2449.64,150.54,9.11,398.37
02:25.0,Farm B,29.07,74.64,2.74,6.7,13.37,31.1,32.93,34.4,Rice,1351.92,3.46,4.45,1199.38
02:25.0,Farm A,15.97,43.41,,5.73,21.11,2.85,21.22,,Rice,2198.62,151.97,8.86,942.23
02:25.0,Farm B,15.32,79.03,37.02,7.74,31.41,6.26,30.03,29.76,Wheat,2333.33,174.94,1.28,754.87
02:25.0,Farm B,23.05,63.81,32.25,5.86,39.73,7.21,35.28,26.71,Rice,3699.27,,1.92,324.02
02:25.0,,33.55,57.65,5.61,7.43,33.7,40.89,26.95,22.3,,4201.05,,9.15,1202.93
02:25.0,Farm B,34.08,86.66,0.06,,,23.12,15.05,26.3,Wheat,,187.66,3.33,
02:25.0,Farm A,33.84,75.25,19.97,5.28,17.24,21.57,19.2,18.54,Corn,2492.42,175.82,1.46,263.59
02:25.0,Farm C,,,23.02,,,12.61,35.3,13.56,Wheat,3805.5,161.3,,350.8
02:25.0,Farm D,16.65,89.28,15.84,7.98,19,12.5,38.63,7.97,Soybeans,4511.93,145.98,4.47,1989.18
02:25.0,Farm B,31.97,85.92,20.97,7,39.24,42.25,1.67,38.05,Wheat,4471.95,127.58,,176.64
02:25.0,Farm A,23.46,74.45,1.18,5.77,13.39,15.41,9.65,10.76,Corn,4408.86,172.88,2.35,1479.02
02:25.0,Farm D,26.12,64.8,49.18,6.76,32.44,28.25,15.21,,,2686.81,143.02,5.39,1106.25
,,32.92,88.3,4.42,,30.7,3.16,17.54,19.64,Rice,1176.43,68.25,9.67,1951.4
02:25.0,Farm D,26.83,88.1,19.65,5.16,16.25,46.53,15.97,35.83,Wheat,2692.56,130.96,2.05,1062.3
02:25.0,Farm A,22.33,46.68,46.59,7.54,21.97,30.26,1.44,,Soybeans,3528.94,131.21,4.49,1737.89
02:25.0,Farm C,20.74,40.24,13.82,6.75,25.96,16.98,30.61,32.82,Soybeans,4993.14,118.09,9.93,332.76
02:25.0,Farm A,,61.58,33.69,6.75,33.69,20.2,33.23,18.46,Corn,1881.02,92.55,0.55,1552.9
02:25.0,Farm C,33.98,73.73,7.58,7.89,36.72,22.09,20.61,3.24,Soybeans,,182.82,1.63,121.15
02:25.0,Farm A,33.07,66.84,13.63,6.64,10.2,41.13,17.24,24.58,Corn,3256.53,125.16,0.52,
02:25.0,Farm A,30.66,53.9,4.15,6.26,13.69,27.55,20.44,42.68,Soybeans,2697.03,104.31,1.05,1299.11
02:25.0,Farm D,15.87,54.52,5.1,6.62,18.23,14.35,19.19,18.89,Soybeans,4750.05,27.63,1.67,274.18
02:25.0,Farm B,21.84,73.54,11.77,7.71,16.87,17.29,38.82,19.24,Corn,3661.17,166.83,3.38,1400.13
02:25.0,,26.97,42.28,24.6,6.79,24.2,33.52,32.72,12.87,Soybeans,2218.71,3.67,6.97,465.76
02:25.0,Farm C,29.21,47.95,20.26,,28.32,27.58,9.92,8.82,Rice,4583.9,154.47,1.78,1175.03
02:25.0,Farm C,27.75,78.64,4.5,5.93,21.81,,39.35,8.76,Wheat,4572.35,12.11,4.9,269.03
02:25.0,Farm B,23.75,80.8,,6.14,12.79,,26.05,30.52,Soybeans,3675.52,23.93,3.21,318.83
02:25.0,,,47.58,19.69,5.22,10.99,17.6,35.12,5.92,Wheat,2818.02,129.03,0.92,214.47
02:25.0,Farm D,15.7,89.07,47.1,7.28,18.3,37.87,34.14,36.53,Corn,1314.96,,0,642.25
02:25.0,Farm C,20.13,34.1,40.43,5.33,10.28,4.11,22.88,,Soybeans,1031.3,57.59,,1371.43
02:25.0,Farm B,25.09,80.12,42.5,7.12,15.5,41.67,31.52,48.12,,3127.97,145.22,9.31,152.62
02:25.0,Farm D,20.48,89.19,35.88,7.2,18.35,1.98,0.06,47.81,Corn,1002.02,132.73,8.39,1312.81
,Farm A,,35.49,47.04,6.46,22.63,2.93,22.23,12.79,Wheat,,,0.25,779.12
,Farm B,,60.44,36.47,6.64,18.32,0.31,31.34,23.48,Corn,4935.8,148.38,5.29,1353.28
02:25.0,Farm A,27.4,70.46,31.26,6.07,,6.77,14.5,37.37,Rice,4276.55,110.42,3.62,1300.38
02:25.0,Farm D,27.51,75.36,9.84,,,,19.81,25.22,Rice,,92.81,3.77,415.04
02:25.0,Farm C,21.66,52.54,32,7.62,32.41,,19.24,,Wheat,2985.24,1.24,9.02,1599.89
02:25.0,Farm A,24.12,48.12,40.23,5.54,11.75,44.47,,36.03,Corn,2755.93,109.52,,509.26
02:25.0,Farm D,16.88,78.65,34.15,6.5,33.14,45.35,26.52,28.6,,2026.64,122.39,5.58,
02:25.0,,21.35,61.46,11.48,7.37,33.03,47.46,34.26,40.9,,1782.74,37.87,6.62,1694.36
02:25.0,Farm C,27.65,50.06,32.7,5.02,37.33,,,28.38,,2682.43,121.41,0.34,1019.69
02:25.0,Farm C,31.62,46.23,14.35,7.93,12.12,13.41,20.09,,Rice,4275.4,163.5,9.08,1123.63
02:25.0,Farm D,20.61,73.17,23.25,7.03,39.95,22.72,31.6,43.24,Wheat,4011.58,181.87,9.65,584.88
02:25.0,Farm D,17.71,33.74,40.68,,23.38,47.88,5.3,5.1,Corn,3872.79,112.36,,1927.37
02:25.0,Farm A,29.36,77.75,2.52,7.4,34.07,,38.58,12.52,Soybeans,4189.71,180.57,5.57,1620.86
,,24.15,66.9,35.37,7.05,34.84,8.12,6.9,3.45,Rice,1056.59,56.63,8.41,1758.15
02:25.0,Farm B,26.82,67.77,42.14,,38.98,1.26,,33.83,Corn,4663.49,129.36,3.57,
02:25.0,Farm C,18.65,,24.22,5.14,,11.35,39.91,34.2,,2314.26,26.68,4.41,410.93
02:25.0,Farm D,18.47,70.53,14.95,6.45,33.86,25.03,,9.49,Rice,2751.37,109.4,5.04,113.64
02:25.0,Farm D,17.76,47.75,46.46,7.01,33.39,13.02,37.33,2.46,Rice,3149.33,186.63,8.31,
02:25.0,,33.55,57.65,5.61,7.43,33.7,40.89,26.95,22.3,,4201.05,,9.15,1202.93
02:25.0,Farm A,33.51,62.95,40.85,,14.3,0.97,35.72,14.63,Soybeans,2221.71,84.87,0.13,
02:25.0,Farm C,34.56,88.06,23.1,6.73,29,46.28,5.57,,Wheat,1571.91,121.14,,1066.78
02:25.0,Farm A,16.71,54.37,17.09,6.95,22.82,15.02,39.16,33.35,Corn,3231.73,101.37,5.51,276.91
,Farm C,22.45,80.66,5.69,6.71,,15.11,,47.96,Soybeans,4721.59,,9.83,1112.34
02:25.0,Farm D,30.04,70.27,,7.94,23.61,47.29,21.62,24.61,Soybeans,1752.58,26.41,7.48,1139.06
02:25.0,Farm A,25.12,78.41,24.88,5.17,16.95,28.08,,,Rice,3247.58,113.53,4.94,
02:25.0,Farm B,28.09,73.13,23.24,,18.41,25.44,19.24,46.99,Wheat,3232.1,27.52,4.6,1460.31
02:25.0,Farm C,16.22,,,7.33,10.21,24.27,,33.22,Soybeans,2836.77,108.31,4.17,317.93
02:25.0,Farm A,33.73,57.25,47.76,5.71,17.75,35.35,5.52,39.33,Wheat,2082.51,78.26,5.41,332.87
02:25.0,Farm C,31.58,81.23,12.38,6.21,,33.35,19.01,6.76,Soybeans,1608.54,62.07,8.64,1746.57
02:25.0,Farm C,19.08,57.6,16.37,5.95,32.64,18.32,32.71,46.13,,2795.36,79.5,0.9,1918.46
02:25.0,Farm D,27.42,84.39,,,13.27,8.68,34.06,4.82,Rice,3361.85,,4.49,576.94
02:25.0,Farm C,28.8,57.67,41.65,5.38,18.79,1.68,38.26,37.98,,3406.87,88.86,7.53,
02:25.0,Farm B,24.11,51.68,41.4,,18.3,39.61,15.12,19.11,Rice,3174.03,111.18,7.91,227.73
02:25.0,Farm B,,67.46,46.58,7.62,13.81,11.7,7.82,46.52,Rice,3190.13,194.97,8.32,1403.56
02:25.0,Farm B,23.14,52.57,46.32,,18.69,34.43,31.6,28.46,Corn,1744.1,,7.74,1444.73
02:25.0,Farm B,29.58,32.64,40.67,7.3,,0.06,33.55,8.05,Corn,3016.79,155.41,,1300.96
02:25.0,Farm C,32.71,89.33,46.99,5.09,13.66,32.88,35.69,40.15,Rice,1487.08,179.46,3.59,407.45
02:25.0,Farm C,30.79,74.31,43.16,7.3,37.16,44.55,,9.08,Corn,1294.15,4.7,,1313.4
02:25.0,Farm A,18.79,86.01,25.14,5.04,12.42,36.63,38.04,22.89,Soybeans,1053.49,167.17,,1247.3
02:25.0,Farm A,20.37,78.63,32.54,6.83,35.63,9.31,15.13,2.21,Corn,3948.07,,,1914.01
,Farm A,15.07,88.74,24.97,6.01,34.2,17.7,19.62,47.44,Rice,2762.28,169.11,4.63,1300.92
,,33.29,83.64,47.34,6.48,17,29.59,15.16,17.91,Wheat,,106.27,7.26,1544.39
02:25.0,Farm B,23.41,65.36,40.62,6.33,12.36,23.87,20.08,15.7,Rice,2352.93,126.12,2.53,781.03
02:25.0,Farm B,23.18,49.65,13.24,6.45,31,12.62,37.87,3.13,,1240.75,51.91,2.43,110.51
02:25.0,Farm C,,46.61,40.28,6.98,26.53,11.26,4.29,27.48,Corn,1411.47,4.25,8.55,635.07
02:25.0,Farm C,26.19,31.19,15.29,5.52,36.5,19.84,35.2,31.82,Wheat,3418.09,17.77,2.4,1807.65
02:25.0,Farm D,19.69,36.58,2.18,7.6,39.41,40.17,10.2,7.5,Rice,3269.55,196.68,7.95,320.11
,Farm D,19.86,50.82,7.2,7.18,32.68,4.33,16.88,,Soybeans,2504.73,56.98,,1083.62
,Farm B,29.12,,30.78,5.46,27.01,8.33,33.28,31.08,Wheat,3387.23,170.6,2.3,1044.7
02:25.0,Farm A,15.33,71.43,36.05,5.6,39.97,45.29,4.18,32.64,Soybeans,2277.75,187.59,8.23,1332.12
02:25.0,Farm C,25.6,69.93,43.32,6.78,14.12,38.05,15.18,,Soybeans,2561.63,53.57,,264.85
02:25.0,Farm D,22.59,48.1,49.31,7,33.45,42.19,34.81,15.36,Soybeans,2604.06,177.62,3.02,1534.72
02:25.0,Farm D,,72.27,33.71,5.04,17.19,28.07,32.31,32.63,Soybeans,2003.19,123.2,3.17,421.84
02:25.0,Farm A,19.15,43.84,42.04,5.93,,44.45,30.48,21.55,Rice,3599.23,86.3,3.2,863.44
02:25.0,Farm B,,30.79,3.35,5.71,30.79,27.07,32.63,37.71,Corn,1562.16,158.87,9.55,1141.84
02:25.0,Farm B,25.85,87.82,17.76,7.28,33.76,21.67,37.08,,Corn,,,,1931.19
02:25.0,,30.47,61.34,37.18,6.1,28.49,18.25,28.9,,Corn,2893.36,87.69,6.1,273.01
02:25.0,Farm D,17.98,83.17,40.07,6.83,13.93,,1.13,0.03,Wheat,1840.09,144.07,9.37,855.11
02:25.0,Farm A,22.97,63.77,39.7,5.44,34.93,42.67,2.79,16.54,Rice,3585.78,,6.24,1197.48
02:25.0,Farm A,15.22,71.77,46.7,5.02,32.02,3.71,15.24,26.71,Rice,1202,96.08,9.26,846.73
02:25.0,Farm C,,50.35,48.96,5.54,37.14,6.17,9.4,41.89,Wheat,4864.81,,3.97,
02:25.0,Farm C,31.46,,32.86,6.29,29.99,2.29,32.2,1.51,Soybeans,4545.2,35.89,7.36,1557.12
02:25.0,,29.61,70.67,32.48,,,10.7,32.07,7.36,Rice,4539.5,114.45,3.68,771.55
02:25.0,Farm A,18.17,54.48,2.84,7.98,28.27,28.86,,32.55,Soybeans,1080.12,199.11,2.73,204.5
02:25.0,,30.28,55.7,11.36,5.24,25.24,22.59,29.12,47.48,Rice,3165.22,33.36,2.48,168.23
02:25.0,Farm C,30.34,63.5,14.32,6.94,35.19,31.4,3.83,46.19,Wheat,4752.24,191.78,0.8,1197.78
02:25.0,Farm D,,75.53,29.93,6.89,18.86,,28.34,17.69,Soybeans,1090.94,30.41,3.11,1424.32
02:25.0,Farm D,20.71,87.97,28.32,,28.99,28.41,20.98,44.59,Rice,1305.61,133.58,9.06,552.39
02:25.0,Farm B,33.52,,26.7,5.75,28.99,43.63,24.41,14.52,,1853.16,116.88,1.51,965.4
02:25.0,Farm B,17.82,,,,38.03,,2.99,18.37,Soybeans,1350.25,58.46,4.78,
02:25.0,Farm D,34.45,76.72,15.73,7.55,37.91,36.3,23.16,46.11,Corn,4796.79,192.73,4.11,1554.25
02:25.0,,26.14,52.24,23.05,5.97,16.74,47.89,14.69,,Rice,1767.77,110.22,9.71,809.52
02:25.0,Farm D,21.63,65.51,40.08,5.79,,43.12,38.07,,,,110.34,0.91,1465.18
02:25.0,,33.92,86.03,8.26,5.66,14.3,49.53,15.21,46.45,Corn,1148.39,81.74,6.56,1036.99
02:25.0,Farm C,33.22,,28.18,7.02,29.21,31.56,21.87,,Wheat,1981.75,59.76,0.44,1990.18
02:25.0,Farm A,25.76,74.96,20.37,6.69,38.36,33.84,19.49,11.24,Wheat,3895.93,101.83,1.39,1950.21
02:25.0,Farm B,26.23,42.12,31.9,7.49,15.16,36.9,29.3,,Rice,3188.71,121.72,1.27,1824.8
02:25.0,Farm D,15.25,42.73,,5.22,33.58,6.59,16.17,17.41,Corn,2665.33,72.84,,1722.05
02:25.0,Farm A,28.62,87.36,17.04,6.33,14.2,39.36,2.55,26.99,Rice,3688.7,104.98,1.6,1830.95
02:25.0,Farm C,27.35,70.6,20.26,6.48,19.43,15.08,,25.93,,2300.3,139.45,4.63,1292.2
02:25.0,Farm A,33.01,78.17,40.64,5.01,18.43,,17.85,,,2598.12,146.71,8.19,1863.28
02:25.0,,34.83,51.98,5.04,7.36,20.43,36.69,22.15,11.15,Wheat,4163.53,19.46,5.93,689.54
,Farm B,33.82,61,3.62,5.43,17.1,28.13,2.48,16.57,Wheat,3497.43,187.53,5.18,1032.26
02:25.0,Farm D,22.24,46.03,49.71,,12.32,48.71,24.12,,,4119.21,86.58,5.23,1189.69
02:25.0,Farm A,24.88,36.25,0.13,,20.83,48.9,30.95,26.89,Rice,3665.91,174.38,4.88,416.05
02:25.0,Farm A,23.82,51.88,9.97,7.97,39.83,40.11,30.76,4.94,Rice,4632.94,131.75,4.6,
02:25.0,Farm D,,89.77,29.15,7.44,14.53,42.21,17.75,49.68,Corn,1567.84,89.34,6.82,1019.98
02:25.0,Farm C,27.96,73.63,45.11,6.2,12.44,33.45,26.14,,Corn,3366.76,84.46,6.03,1651.73
02:25.0,Farm B,32.11,83.76,10.62,6.08,28.19,13.82,37.23,42.73,Wheat,3696.93,118.06,8.71,1976.44
02:25.0,Farm A,19.2,88.45,32.43,6.12,36.37,30.72,26.13,34.54,Corn,4221.83,190.79,2.35,804.91
02:25.0,Farm B,22.9,88.15,17.08,5.86,28.51,31.36,2.74,26.61,Rice,1396.12,190.21,4.33,517.6
02:25.0,Farm C,29.27,84.44,6.19,7.12,36.56,13.66,,38.22,Rice,2146.17,,1.48,383.78
,Farm A,,56.24,12.43,5.64,22.12,28.66,32.57,45.54,Wheat,3126.52,98.67,9.95,1955.47
02:25.0,Farm D,28.01,60.35,17.19,6.32,17.4,29.44,15.51,12.94,Soybeans,1556.76,182.99,8.69,1363.24
02:25.0,Farm D,22.5,78.18,40.91,5.36,29.16,,10.23,49.53,Wheat,3526.37,,3.3,1599.57
02:25.0,Farm B,19.92,50.29,34.63,,32.14,48.32,2.68,6.48,Soybeans,4825.25,101.87,5.32,1552.41
02:25.0,Farm A,17.47,61.22,23.04,6.81,,,12.62,46.96,Corn,1293.36,15.2,,1366.65
02:25.0,Farm C,34.15,59.1,29.19,7.08,20.84,5.42,38.65,19.38,Soybeans,4497.96,62.2,7.37,929.85
02:25.0,Farm A,30.52,,8.86,5.04,38.55,13.77,35.83,,Rice,4626.04,197.43,6.34,1114.25
02:25.0,Farm A,32.63,78.76,44.04,5.19,30.93,15.31,27.71,17.35,Soybeans,4613.26,41.86,4.95,824.49
02:25.0,Farm C,22.85,76.65,16.49,7.31,23.08,19.57,19.43,29.79,Soybeans,3605.98,186.35,2.98,371.2
,Farm D,23.21,46.68,,7.63,20.1,17.5,8.09,0.01,Soybeans,4011.17,,2.47,1013.86
02:25.0,Farm C,34.69,59.59,22.79,5.09,12,29.52,5.64,24.17,Rice,3138.39,,3.46,486.76
02:25.0,Farm C,20.84,79.4,4.24,5.73,14.4,0.4,22.93,6.89,Rice,3846.95,81.81,1.24,1796.88
,Farm D,32.67,53.24,15.72,5.27,,30.73,32.78,21.7,Wheat,4432.41,108.31,0.32,588.45
02:25.0,Farm B,27.72,59.39,,,32.76,,5.01,33.95,Wheat,4767.8,66.37,5.48,489.92
02:25.0,Farm A,20.63,64.3,28.84,7.26,23.76,45.8,18.06,12.29,,3608.98,12.48,3.05,1351.05
02:25.0,Farm B,33.47,80.08,41.9,6.66,17.29,27.08,20.79,40.81,,2903.04,124.34,4.54,1570.15
02:25.0,Farm D,25.6,46.47,11.28,5.52,17.47,,1.92,2.29,Corn,1096.94,0.93,4.25,1903.95
02:25.0,Farm C,23.15,45.35,25.64,5.75,32.25,49.75,35.89,26.7,,2523.1,2.91,8.91,
02:25.0,Farm D,18.16,72.92,30.33,5.69,33.61,,14.88,23.85,Wheat,3821.05,125.05,9.61,1657.96
02:25.0,Farm B,33.41,83.33,10.1,5.08,37.93,27.88,17.95,32.34,Rice,,143.57,2.89,1543.19
02:25.0,Farm C,26.92,70.3,12.07,6.63,31.28,18.51,,33.76,Wheat,1679.94,88.87,2.5,
02:25.0,Farm D,23.69,58.72,49.68,6.52,21.75,10.19,10.05,47.63,Rice,4279.31,178.37,9.74,215.71
02:25.0,Farm A,24.3,,31.16,6.18,28.67,20.92,19.76,2.31,Rice,3178.91,46.04,4.33,979.46
02:25.0,Farm B,29.54,44.1,5.89,6.84,18.68,19.26,12.9,39.53,Wheat,,112.83,2.99,1681.96
02:25.0,,31.74,43.47,,7.01,26.57,2.46,20.33,21.06,Corn,1446.01,91.48,2.86,1039.51
02:25.0,Farm B,26.74,89.76,12.3,7.26,17.87,,32.93,26.1,Soybeans,,34.39,2.32,1861.79
02:25.0,Farm D,23.95,72.67,,6.23,18.55,,35.93,39.36,Corn,1683.11,5.14,5.59,350.75
02:25.0,Farm C,19.23,34.6,34.67,5.13,39.3,38.52,24.37,29.81,Corn,4212.91,192.69,,1610.33
02:25.0,Farm A,19.32,38.62,,,14.37,43.14,7.88,7.45,Soybeans,4245.63,122.18,8.64,
02:25.0,Farm D,29.95,46.2,32.84,7.49,18.71,20.63,8.38,,Rice,1466.63,,1.39,1426.29
02:25.0,Farm A,23.21,84.75,13.83,5.62,35.26,14.5,16.78,28.16,Wheat,2604.9,85.49,4.12,1846.41
02:25.0,Farm A,20.99,31.05,34.84,5.9,17.25,,27.83,44.4,Soybeans,3527.24,106.39,3.24,895.43
02:25.0,Farm B,26.21,69.02,12.25,5.82,21.18,28.27,37.48,37.52,Soybeans,2983.06,77.33,,1591
02:25.0,Farm B,34.47,88.09,47.72,7,15.48,40.67,19.89,29.61,Rice,,7.15,7.62,1727.75
,Farm A,19.84,45.86,49.39,5.58,12.21,0.31,0.47,5.23,Rice,2640.62,24.32,7.57,473.56
02:25.0,Farm C,19.73,,26.61,6.02,12.71,42.59,,34.08,Soybeans,4014.85,187.28,4.95,1915.91
02:25.0,Farm D,16.83,53.59,25.65,7.22,32.32,28.45,35.79,45.26,Soybeans,1691.52,146.11,4.77,1974.6
02:25.0,Farm D,16.91,36.72,9.77,,21.18,18.62,16.97,18.19,,4083.23,132.86,1.64,1833.84
,Farm A,22.3,65.3,31.52,6.37,13.74,,10.34,37.14,Wheat,2815.36,150.15,0.79,737.3
02:25.0,Farm B,23.78,60.8,2.78,5.44,,32.88,14.08,42.58,Rice,4577.13,69.3,6.9,309.23
02:25.0,Farm A,18.51,33.62,41.98,6.72,38.17,,30.65,49.9,,2745.61,22.07,,789.46
02:25.0,Farm B,33.68,75.85,,,32.88,7.56,6.03,2.04,Wheat,4957.28,94.01,1.25,1473.08
02:25.0,Farm C,20.37,80.1,16.16,7.39,15.99,2.02,11.58,,,3813.89,115.5,7.22,1127.07
02:25.0,Farm C,31.24,64.26,7.65,6.57,39.63,8.15,19.38,33.48,Wheat,1598.41,,2.11,1645.67
02:25.0,Farm B,26.03,40.12,48.06,5.74,38.59,44.83,14.89,37.22,Soybeans,2381.11,174.7,9.97,1480.2
02:25.0,Farm A,29,51.04,1.61,6.47,16.99,28.92,20.41,22.95,Corn,3984.38,132.83,5.22,1866.56
02:25.0,Farm B,28.91,,8.61,,26.5,17.89,31.82,12.79,Corn,,198.1,6.17,
02:25.0,Farm A,22.63,63.6,31.45,7.92,35.76,49.31,28.27,37.77,Wheat,4386.06,45.52,8.61,1217.3
02:25.0,Farm B,30.09,,15.88,7.58,,,36.34,25.08,Soybeans,,52.94,7.08,1934.39
